PTT,DATE,TIME,LC,LAT1,LONG1
105296,2011/03/10,09:57:19,0,-33.3090,101.8230
105296,2011/03/10,11:06:19,0,-46.3580,38.6070
105296,2011/03/10,11:39:19,0,-46.2570,38.7840
105296,2011/03/10,12:46:49,0,-46.1080,39.0790
105296,2011/03/10,13:22:49,0,-46.0760,39.1550
105296,2011/03/10,13:38:19,0,-45.9510,39.2030
105296,2011/03/10,14:23:49,0,-45.8860,39.7630
105296,2011/03/10,14:58:49,A,-45.8980,39.6400
105296,2011/03/10,15:17:19,0,-45.6080,39.7130
105296,2011/03/10,16:11:49,B,-45.3870,39.7280
105296,2011/03/10,16:29:49,0,-45.3070,39.8140
105296,2011/03/10,16:55:49,A,-45.0870,39.6460
105296,2011/03/10,17:56:19,0,-45.1390,39.9210
105296,2011/03/10,18:09:19,3,-45.1610,39.8840
105296,2011/03/10,18:21:49,1,-45.1620,39.8850
105296,2011/03/10,19:31:49,2,-45.1640,39.8900
105296,2011/03/10,19:58:49,1,-45.1570,39.9050
105295,2011/03/10,09:22:46,0,-46.4470,38.2480
105295,2011/03/10,09:58:16,0,-46.1660,38.3950
105295,2011/03/10,11:04:46,0,-46.1500,38.4920
105295,2011/03/10,11:41:46,0,-46.0790,38.3870
105295,2011/03/10,12:45:16,0,-45.9470,38.4790
105295,2011/03/10,13:21:47,0,-45.8690,38.6410
105295,2011/03/10,13:38:17,1,-45.8080,38.6980
105295,2011/03/10,14:24:17,Z,-45.1700,37.6150
105295,2011/03/10,15:18:17,0,-45.4770,39.3010
105295,2011/03/10,16:10:47,0,-45.2600,39.4450
105295,2011/03/10,16:28:17,1,-45.1610,39.5070
105295,2011/03/10,16:55:17,B,-45.0870,39.7880
105295,2011/03/10,17:51:17,2,-44.9970,39.7900
105295,2011/03/10,18:06:47,3,-44.9990,39.7910
105295,2011/03/10,18:21:47,0,-44.9680,39.7760
105294,2011/03/10,11:02:12,2,-46.5430,38.2100
105294,2011/03/10,11:40:12,3,-46.5460,38.2060
105294,2011/03/10,12:46:12,1,-46.4840,38.4090
105294,2011/03/10,13:20:42,0,-46.3880,38.4760
105294,2011/03/10,13:34:42,2,-46.3920,38.4440
105294,2011/03/10,15:18:12,0,-46.2220,38.6370
105294,2011/03/10,16:26:42,1,-46.1450,38.6050
105294,2011/03/10,16:56:12,0,-46.1200,38.7720
105294,2011/03/10,17:50:12,2,-46.0750,38.7420
105294,2011/03/10,18:07:42,3,-46.0830,38.7330
105294,2011/03/10,18:20:42,1,-46.0840,38.7400
105294,2011/03/10,19:31:42,2,-46.1020,38.7320
105294,2011/03/10,20:00:42,2,-46.1080,38.7370
105293,2011/03/10,09:23:20,0,-46.4210,38.3330
105293,2011/03/10,10:00:20,0,-46.3400,38.4560
105293,2011/03/10,11:05:20,0,-46.1890,39.0810
105293,2011/03/10,11:38:50,0,-46.0520,39.3190
105293,2011/03/10,12:46:20,0,-45.7960,39.8560
105293,2011/03/10,13:21:50,0,-45.6160,40.0830
105293,2011/03/10,13:37:20,0,-45.5440,40.0540
105293,2011/03/10,14:22:50,B,-45.3040,40.4100
105293,2011/03/10,15:17:20,0,-45.0930,40.8520
105293,2011/03/10,16:11:20,0,-44.7660,41.1120
